id,date,car,seat_color,car_color,value (US$ mi),value off (US$ mi),discount (%),total (US$ mi),salesperson,city,country
1,2017-1-4,Ferrari Pininfarina Sergio,brown,blue,2.31525,2.2907598214920397,3,2.2220370268472784,Sophia,sao paulo,brazil
2,2017-1-16,McLaren P1 LM,red,black,2.7195,2.686196603037255,1,2.6593346370068827,Sophia,sao paulo,brazil
3,2017-1-12,Ferrari Pininfarina Sergio,black,silver,2.2049999999999996,2.184845120777206,1,2.1629966695694343,Helena,sao paulo,brazil
4,2017-1-9,Bugatti Chiron,brown,gold,2.2380750000000003,2.2115463625729075,2,2.1673154353214494,Sophia,sao paulo,brazil
5,2017-1-10,Bugatti La Voiture Noire,black,white,13.351799999999999,13.151792647880683,1,13.020274721401876,Manuela,sao paulo,brazil
6,2017-1-17,Bugatti Veyron by Mansory Vivere,black,silver,2.499,2.4699189603445495,1,2.445219770741104,Luísa,sao paulo,brazil
7,2017-1-16,Rolls-Royce Sweptail,white,silver,9.59616,9.448460830054731,0,9.448460830054731,Isabella,sao paulo,brazil
8,2017-1-18,Bugatti La Voiture Noire,brown,gold,14.431724999999998,14.214280453059228,0,14.214280453059228,Heloísa,sao paulo,brazil
9,2017-1-13,Bugatti Veyron by Mansory Vivere,brown,red,2.6239500000000002,2.5981042575219644,1,2.572123214946745,Sophia,sao paulo,brazil
10,2017-1-4,Bugatti La Voiture Noire,black,white,13.351799999999999,13.172322385788378,0,13.172322385788378,Laura,sao paulo,brazil
11,2017-1-23,Rolls-Royce Sweptail,black,blue,9.408,9.279041394813994,2,9.093460566917715,Luísa,sao paulo,brazil
12,2017-1-15,Bugatti Chiron,black,gold,2.1315,2.107505799535497,2,2.0653556835447873,Manuela,sao paulo,brazil
13,2017-1-6,Rolls-Royce Sweptail,red,gold,9.8784,9.757913635803424,3,9.465176226729321,Alice,sao paulo,brazil
14,2017-1-21,Koenigsegg CCXR Trevita,black,black,3.36,3.306845596526252,2,3.240708684595727,Helena,sao paulo,brazil
