Year,Year Code,Country Name,Country Code,Women who were first married by age 15 (% of women ages 20-24) [SP.M15.2024.FE.ZS],Women's share of population ages 15+ living with HIV (%) [SH.DYN.AIDS.FE.ZS],Young people (ages 15-24) newly infected with HIV [SH.HIV.INCD.YG],Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural population [SP.RUR.TOTL],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary, female (% gross) [SE.PRM.ENRR.FE]","School enrollment, primary, male (% gross) [SE.PRM.ENRR.MA]","School enrollment, primary, male (% net) [SE.PRM.NENR.MA]","School enrollment, primary, female (% net) [SE.PRM.NENR.FE]","School enrollment, primary (% net) [SE.PRM.NENR]",Ratio of young literate females to males (% ages 15-24) [SE.ADT.1524.LT.FM.ZS],Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14 [SE.ENR.ORPH],Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS],Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%) [SH.UHC.NOP2.ZS],Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%) [SH.UHC.NOP1.ZS],"Probability of dying among adolescents ages 15-19 years (per 1,000) [SH.DYN.1519]","Primary completion rate, male (% of relevant age group) [SE.PRM.CMPT.MA.ZS]","Prevalence of wasting, male (% of children under 5) [SH.STA.WAST.MA.ZS]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Prevalence of severe wasting, weight for height, female (% of children under 5) [SH.SVR.WAST.FE.ZS]","Prevalence of severe wasting, weight for height, male (% of children under 5) [SH.SVR.WAST.MA.ZS]",Prevalence of syphilis (% of women attending antenatal care) [SH.PRG.SYPH.ZS],"Prevalence of overweight, male (% of male adults) [SH.STA.OWAD.MA.ZS]",Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],"Prevalence of HIV, female (% ages 15-24) [SH.HIV.1524.FE.ZS]",Prevalence of anemia among non-pregnant women (% of women ages 15-49) [SH.ANM.NPRG.ZS],Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC],"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]",Population growth (annual %) [SP.POP.GROW],"Population, female [SP.POP.TOTL.FE.IN]",Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure [SH.UHC.NOP2.TO],Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure [SH.UHC.NOP1.TO],Number of neonatal deaths [SH.DTH.NMRT],"Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]","Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]","Mortality rate attributed to unintentional poisoning (per 100,000 population) [SH.STA.POIS.P5]","Mortality rate attributed to household and ambient air pollution (per 100,000 population) [SH.STA.AIRP.P5]","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%) [SH.DYN.NCOM.MA.ZS]","Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]","Malnutrition prevalence, weight for age, female (% of children under 5) [SH.STA.MALN.FE.ZS]",Malaria cases reported [SH.STA.MALR],"Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Labor force, total [SL.TLF.TOTL.IN]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]",Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line) [SH.UHC.NOP2.ZG],Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line) [SH.UHC.NOP1.ZG],"Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]","Condom use at last high-risk sex, adult female (% ages 15-49) [SH.CON.AIDS.FE.ZS]","Condom use at last high-risk sex, adult male (% ages 15-49) [SH.CON.AIDS.MA.ZS]","Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions) [SH.HIV.KNOW.MA.ZS]","Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions) [SH.HIV.1524.KW.FE.ZS]","Completeness of birth registration, rural (%) [SP.REG.BRTH.RU.ZS]","Completeness of birth registration, male (%) [SP.REG.BRTH.MA.ZS]","Completeness of birth registration, female (%) [SP.REG.BRTH.FE.ZS]",Completeness of birth registration (%) [SP.REG.BRTH.ZS],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]",Adults (ages 15+) and children (0-14 years) living with HIV [SH.HIV.TOTL],Adults (ages 15+) and children (ages 0-14) newly infected with HIV [SH.HIV.INCD.TL],"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]",Adults (ages 15+) living with HIV [SH.DYN.AIDS]
2019,YR2019,Afghanistan,AFG,..,29,500,74.246,28244481,1.963585747,..,..,..,..,..,..,..,..,..,..,..,..,13.6,..,..,..,..,..,..,..,..,0.1,..,..,38041754,51.33760515,2.311817217,18512029,..,..,43424,49.8,..,..,..,..,..,..,..,..,..,10699797,21.4470611,..,..,..,..,..,..,..,..,..,..,..,..,11000,1500,..,10000
2019,YR2019,Albania,ALB,..,23.3,100,38.771,1106598,-2.746066612,..,104.8127365,106.4436111,103.3807678,..,..,..,..,..,..,..,..,1.7,102.2923965,..,..,..,..,..,..,..,0.1,..,..,2854191,50.91389431,-0.426007367,1401011,..,..,251,9.5,..,..,..,..,..,..,..,..,..,1313923,41.4753376,..,..,..,..,..,..,..,..,..,..,..,..,1400,100,..,1400
2019,YR2019,Algeria,DZA,..,45.6,500,26.811,11542954,-0.1332306344,..,107.3316879,104.8598785,109.7035828,..,..,..,..,..,..,..,..,2.7,101.1553497,..,..,..,..,..,..,..,0.1,..,..,43053054,50.51828844,1.933950191,21303388,..,..,16484,21.3,..,..,..,..,..,..,..,..,..,12303926,17.62688592,..,..,..,..,..,..,..,..,..,..,..,..,22000,2100,..,21000
2019,YR2019,American Samoa,ASM,..,..,..,12.853,7109,-0.2388480236,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55312,..,-0.2762308011,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Andorra,AND,..,..,..,12.016,9269,0.8233174012,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,..,..,..,..,..,..,..,..,..,77142,..,0.1764538434,..,..,..,1,3.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Angola,AGO,..,69.6,9000,33.823,10764270,1.301742489,..,..,..,..,..,..,..,..,..,..,..,..,12.8,..,..,..,..,..,..,..,..,1.2,..,..,31825295,49.47252499,3.242982603,16080518,..,..,35358,55.3,..,..,..,..,..,..,..,..,..,13164276,50.25306367,..,..,..,..,..,..,..,..,..,..,..,..,340000,26000,..,310000
2019,YR2019,Antigua and Barbuda,ATG,..,..,..,75.494,73318,0.9827449072,..,..,..,..,..,..,..,..,..,..,..,..,2.4,..,..,..,..,..,..,..,..,..,..,..,97118,48.24280492,0.8603804807,50266,..,..,5,6.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Arab World,ARB,..,41.78166571,..,40.79835313,174564024,1.239245702,..,95.64803,93.07939,98.10018,..,..,..,0.944840014,..,..,..,..,6.005146755,87.48287201,..,..,..,..,..,..,..,0.1009057463,..,..,427870270,51.82657802,1.924692733,206119753,..,..,177060,28.40593301,..,..,..,..,..,..,..,79.76159668,..,138180908,20.717721,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Argentina,ARG,..,32.3,1100,8.009,3599141,-0.5061159187,..,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,..,..,..,..,..,..,0.1,..,35.5,44938712,48.7741978,0.9933974933,23020216,..,..,4583,9.2,..,..,..,..,..,..,..,..,..,20772672,42.96271082,..,..,..,..,..,..,..,..,..,..,..,..,140000,5900,..,130000
2019,YR2019,Armenia,ARM,..,34.9,100,36.781,1087883,0.01139893421,..,91.84506226,92.1054306,91.61638641,..,..,..,..,..,..,..,..,2,93.26407623,..,..,..,..,..,..,..,0.1,..,..,2957731,47.03843626,0.2015397229,1566461,..,..,258,11.6,..,..,..,..,..,..,..,..,..,1303565,46.16731809,..,..,..,..,..,..,..,..,..,..,..,..,3500,200,..,3500
2019,YR2019,Aruba,ABW,..,..,..,56.454,60019,0.2034758366,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106314,47.44896999,0.4421219594,55869,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,YR2019,Australia,AUS,..,12.3,100,13.876,3519551,0.712080018,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,..,..,..,..,..,..,0.1,..,..,25364307,49.80046581,1.515984454,12732764,..,..,726,3.3,..,..,..,..,..,..,..,..,..,13414956,46.53362262,..,..,..,..,..,..,..,..,..,..,..,..,29000,1000,..,29000
2019,YR2019,Austria,AUT,..,..,..,41.485,3682651,-0.1115692777,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,..,..,..,..,..,..,..,..,..,8877067,49.23871382,0.4125398088,4506113,..,..,184,3.1,..,..,..,..,..,..,..,..,..,4613292,46.40601549,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
